Log Field Name,Data Type,Length,Description
shaperperipdropbyte,uint32,10,Dropped bytes per IP by shaper
shaperperipname,string,36,Traffic shaper name (per IP)
shaperrcvdname,string,36,Traffic shaper name for received traffic
shapersentname,string,36,Traffic shaper name for sent traffic
shapingpolicyid,uint32,10,Shaping Policy ID
shapingpolicyname,string,36,
signal,int8,4,
snr,int8,4,
srccity,string,64,
srccountry,string,64,Country name for Source IP
srcdomain,string,255,
srcfamily,string,66,
srchwvendor,string,66,
srchwversion,string,66,
srcinetsvc,string,64,Internet service name for the source
srcintf,string,32,Source interface name
srcintfrole,string,10,"Source Interface's assigned role (LAN, WAN, etc.)"
srcip,ip,39,Source IP address
srcmac,string,17,MAC address associated with the Source IP
srcmacvendor,string,66,
srcname,string,256,Source name
srcport,uint16,5,Source protocol port number
srcregion,string,64,
srcremote,ip,39,
srcreputation,uint32,10,
srcserver,uint8,3,Source server
srcssid,string,33,Source SSID
srcswversion,string,66,
srcthreatfeed,string,36,
srcuuid,string,37,UUID of the Source Address Object
sslaction,string,26,Action taken by ssl-ssh-profile
subtype,string,20,Subtype of the traffic
time,string,8,Time
trandisp,string,16,NAT translation type
tranip,ip,39,NAT Destination IP
tranport,uint16,5,NAT Destination Port
transip,ip,39,NAT Source IP
transport,uint16,5,NAT Source Protocol Port
tunnelid,uint32,10,
type,string,16,Log type
tz,string,5,Time zone
unauthuser,string,66,Unauthenticated user name
unauthusersource,string,66,The method used to detect unauthenticated user name
url,string,512,URL
user,string,256,User name
utmaction,string,32,Security action performed by UTM
vd,string,32,Virtual domain name
vip,string,64,
vpntype,string,14,The type of the VPN tunnel
vrf,uint8,3,Virtual router forwarding
vwlid,uint32,10,Virtual Wan Link (SD-WAN) service id
vwlname,string,36,
vwlquality,string,320,Quality info of the service rule that is matched by traffic
vwlservice,string,64,Application that is matched by the traffic (internet-service-app-ctrl)
vwpvlanid,uint32,10,Virtual Wire Pair vlan id
wanin,uint64,20,WAN incoming traffic in bytes
wanoptapptype,string,9,WAN Optimization Application type
wanout,uint64,20,WAN outgoing traffic in bytes
