Log Field Name,APP-CTRL,Anomaly,DLP,DNS,EmailFilter,FILE-FILTER,FORTI-SWITCH,GTP,ICAP,IPS,SSH,SSL,Virus,VoIP,WAF,Webfilter,casb,virtual-patch
column,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
command,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0
constraint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
contentdisarmed,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
contentencoding,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
contenttype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
count,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cpaddr,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
cpaddr6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
cpdladdr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdladdr6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdlisraddr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdlisraddr6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdlisrteid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdlteid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpteid,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
cpuladdr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpuladdr6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpulteid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
craction,5,3,0,0,0,0,0,0,0,6,0,0,70,0,0,46,0,0
crlevel,5,3,0,0,0,0,0,0,0,6,0,0,70,0,0,46,0,0
crscore,5,3,0,0,0,0,0,0,0,6,0,0,70,0,0,46,0,0
csgsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
date,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
deny_cause,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
devid,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
dir,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
direction,14,0,2,0,5,2,0,0,0,6,8,0,70,0,12,45,0,4
dlpextra,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docsource,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainfilteridx,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainfilterlist,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dst_int,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
dst_port,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
dstauthserver,5,0,2,0,5,2,0,0,0,6,0,0,70,0,12,47,0,4
dstcountry,14,3,2,12,5,2,0,0,3,6,8,21,70,0,12,47,0,4
dstintf,14,3,2,12,5,2,0,0,3,6,8,21,72,0,12,59,3,4
dstintfrole,14,3,2,12,5,2,0,0,3,6,8,21,72,0,12,59,3,4
dstip,14,3,2,12,5,2,1,0,3,6,8,21,73,7,12,60,3,4
dstport,14,2,2,12,5,2,0,14,3,4,8,21,73,0,12,60,3,4
dstuser,5,0,2,12,5,2,0,0,0,6,8,21,70,0,12,61,0,4
dstuuid,0,0,2,0,5,2,0,0,3,0,8,21,70,0,12,47,3,0
dtlexp,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
dtype,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
duration,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0
end-usr-address,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
endusraddress6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
epoch,0,0,2,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
error,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0
event_id,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
eventid,0,0,2,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0
eventsubtype,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
eventtime,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
eventtype,14,3,4,12,5,2,0,0,3,6,8,21,73,0,12,62,3,4
exchange,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fctuid,14,3,2,12,5,2,0,0,0,6,8,21,71,0,12,46,0,4
filefilter,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
filehash,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
filehashsrc,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
filename,5,0,2,0,0,2,0,0,0,0,0,0,68,0,0,0,0,0
filesize,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
filetype,0,0,2,0,0,2,0,0,0,0,0,0,59,0,0,0,0,0
filtercat,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filtertype,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
fortiguardresp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
forwardedfor,5,0,2,0,0,2,0,0,0,6,0,0,64,0,0,45,0,4
from,0,0,2,0,5,2,0,15,0,0,0,0,69,2,0,6,0,0
from6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
fsaverdict,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ftlkintf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group,14,3,2,12,5,2,0,0,0,5,8,21,72,0,12,59,3,4
handshake,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
headerteid,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
hostkeystatus,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
hostname,5,0,2,0,0,2,0,0,0,2,0,21,0,0,0,58,0,4
hseid,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
httpmethod,5,0,2,0,0,2,0,0,0,2,0,0,68,0,12,59,0,4
icbaction,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
icbconfidence,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
icbfileid,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
icbfiletype,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
icbseverity,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
icbverdict,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
icmpcode,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
icmpid,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
icmptype,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ietype,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
imei-sv,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
imsi,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
incidentserialno,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
infectedfilelevel,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infectedfilename,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infectedfilesize,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infectedfiletype,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infection,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
initiator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
ipaddr,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issuer,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
keyalgo,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
keysize,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
keyword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
kind,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
kxcurve,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
kxproto,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
level,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
line,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
linked-nsapi,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
locip,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
locport,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
logid,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
login,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
logsrc,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
malform_data,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
malform_desc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
matchfilename,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
matchfiletype,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
message_type,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
mitm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
msg,5,3,0,11,5,2,0,0,3,6,0,19,72,0,12,59,3,0
msg-type,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
msgtypename,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
msisdn,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
nai,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
notafter,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
notbefore,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
nsapi,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
parameters,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pathname,0,0,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0
pdstport,5,0,2,0,0,0,0,0,0,3,0,0,70,0,0,0,0,4
phone,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
policy_id,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
policyid,14,3,2,12,5,2,0,0,3,6,8,21,72,0,12,59,3,4
policymode,5,0,2,0,5,2,0,0,0,6,0,0,62,0,0,45,0,4
policytype,5,3,2,12,5,2,0,0,3,6,8,21,70,0,12,59,3,4
poluuid,5,0,2,12,5,2,0,0,0,6,8,21,72,0,12,59,3,4
profile,14,0,2,12,5,2,0,18,3,6,8,21,72,7,12,60,3,4
profiletype,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proto,14,3,2,12,5,2,1,0,3,6,8,21,72,7,12,59,3,4
psrcport,5,0,2,0,0,0,0,0,0,3,0,0,70,0,0,0,0,4
qclass,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qname,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qtype,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qtypeval,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarskip,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
quotaexceeded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
quotamax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
quotatype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
quotaused,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
rai,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
rat-type,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ratemethod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0
rawdata,5,0,2,0,0,2,0,0,0,6,0,0,58,0,12,45,0,4
rawdataid,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4
rcode,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rcvdbyte,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,0,0
rcvdpkt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
reason,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
recipient,0,0,2,0,5,2,0,0,0,0,0,0,67,0,0,0,0,0
ref,0,3,0,0,0,0,0,0,0,5,0,0,56,0,0,0,0,0
referralurl,5,0,2,0,0,2,0,0,0,2,0,0,68,0,12,59,0,4
remip,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
remport,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
reqtype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
request_name,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ruleid,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rulename,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
saasapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
san,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
scertcname,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scertissuer,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selection,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
sender,0,0,2,0,5,2,0,0,0,0,0,0,67,0,0,0,0,0
sensitivity,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sentbyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
seqnum,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
service,14,3,2,0,5,2,0,0,3,6,0,21,73,0,12,59,0,4
session_id,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
sessionid,14,3,2,12,5,2,0,1,3,6,8,21,72,0,12,59,3,4
severity,0,3,2,0,0,0,0,0,0,6,8,0,0,0,12,0,0,4
sharename,0,0,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0
size,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ski,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
sn,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
snetwork,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
sni,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
src_int,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
src_port,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
srccountry,14,3,2,12,5,2,0,0,3,6,8,21,70,0,12,47,0,4
srcdomain,14,3,2,12,5,2,0,0,0,6,8,21,71,0,12,46,0,4
srcintf,14,3,2,12,5,2,0,0,3,6,8,21,72,0,12,59,3,4
srcintfrole,14,3,2,12,5,2,0,0,3,6,8,21,72,0,12,59,3,4
srcip,14,3,2,12,5,2,1,0,3,6,8,21,73,7,12,60,3,4
srcmac,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srcport,14,2,2,12,5,2,0,14,3,4,8,21,73,0,12,60,3,4
srcuuid,0,0,2,0,5,2,0,0,3,0,8,21,70,0,12,47,3,0
sscname,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
status,0,0,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0
subject,0,0,2,0,5,2,0,0,0,0,0,0,63,0,0,0,0,0
subservice,0,0,2,0,0,2,0,0,0,0,0,0,70,0,0,0,0,0
subtype,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
switchid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
switchproto,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
time,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
timeoutdelete,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
tlsver,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
to,0,0,2,0,5,2,0,15,0,0,0,0,69,2,0,6,0,0
to6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
transid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
translationid,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trueclntip,5,0,2,0,0,2,0,0,0,6,0,0,64,0,0,45,0,4
tunnel-idx,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
type,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
tz,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
u-bytes,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
u-ggsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
u-ggsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
u-gsn,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
u-pkts,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
u-sgsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
u-sgsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ufseid,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ufseidaddr,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
uggsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ugsn6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
uli,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ulimcc,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ulimnc,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
unauthuser,14,3,2,12,5,2,0,0,0,6,8,21,71,0,12,46,0,4
unauthusersource,14,3,2,12,5,2,0,0,0,6,8,21,71,0,12,46,0,4
upteid,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
url,5,0,2,0,0,2,0,0,3,2,0,0,70,0,12,60,3,4
urlfilteridx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
urlfilterlist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
urlsource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
urltype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
user,14,3,2,12,5,2,0,0,0,6,8,21,72,0,12,61,3,4
user_data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
useractivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
usgsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vd,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
version,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
videocategoryid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videocategoryname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videochannelid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videodesc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videoinfosource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videotitle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
violations,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
virus,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
viruscat,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
virusid,0,0,0,0,0,0,0,0,3,0,0,0,56,0,0,0,0,0
voip_proto,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
vrf,14,3,2,0,5,2,0,0,3,6,0,21,72,0,0,57,3,4
webmailprovider,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
xid,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
