Log Field Name,cifs-auth-fail,connector,endpoint,fortiextender,ha,rest-api,router,sdwan,security-rating,switch-controller,system,user,vpn,wanopt,webproxy,wireless
disklograte,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
domainctrlauthstate,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainctrlauthtype,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainctrldomain,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainctrlip,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainctrlname,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainctrlprotocoltype,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainctrlusername,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
dst_host,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
dst_int,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
dstintfrole,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dstip,4,0,0,0,0,0,0,0,0,0,14,21,0,5,0,0
dstport,4,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0
duid,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
duration,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,1
eapolcnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eapoltype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
encrypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
encryption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
error,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
error_num,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
espauth,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
esptransform,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
eventtime,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
eventtype,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
exch,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
expiry,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
failuredev,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
fams_pause,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fazlograte,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fctemsname,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
fctemssn,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
fctuid,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
field,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
file,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
filesize,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
fqdn,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
frametype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
freediskstorage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
from,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
from_vcluster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fwserver_name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gateway,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
green,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
group,0,0,0,0,0,0,0,0,0,0,2,15,51,0,0,24
groupid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ha-prio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ha_group,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ha_role,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
hash,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
healthcheck,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
highcount,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
host,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
hostname,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0
httpcode,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
iaid,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
in_spi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
inbandwidthavailable,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
inbandwidthused,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
informationsource,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
init,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
initiator,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
interface,0,0,0,0,0,0,1,7,0,0,18,10,0,0,0,0
intf,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
invalidmac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ip,0,0,7,10,1,0,0,0,0,0,12,0,0,0,1,42
iptype,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
jitter,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
latency,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
lease,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
level,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
license_limit,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
limit,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
local,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
localdevcount,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
locip,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
locport,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
log,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
logdesc,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
logid,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
lowcount,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
mac,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,8
manuf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
mediumcount,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
mem,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
member,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
meshmode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
method,0,0,0,0,0,2,0,0,0,0,5,0,4,0,0,0
mgmtcnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mode,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
module,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
monitor-name,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
monitor-type,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
moscodec,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
mosvalue,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
mpsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
msg,4,6,16,11,36,0,10,13,0,52,548,49,81,5,1,187
mtu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
name,0,0,3,0,0,0,0,0,0,45,15,0,8,0,0,0
nat,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
neighbor,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
netid,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new_status,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
new_value,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
newchannel,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
newchassisid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
newslot,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
newvalue,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
nextstat,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
noise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
numpassmember,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
old_status,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
old_value,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
oldchannel,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
oldchassisid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
oldslot,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
oldsn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
oldvalue,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
oldwprof,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
onwire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
opercountry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
operdrmamode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
opertxpower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
out_spi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
outbandwidthavailable,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
outbandwidthused,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
outintf,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
packetloss,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
passedcount,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
passwd,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
path,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0
peer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
peer_notif,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
phase2_name,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pid,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
policyid,4,0,0,0,0,0,0,0,0,0,2,11,0,5,0,0
poolname,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
port,0,2,0,0,0,0,0,0,0,0,10,0,0,0,1,0
portbegin,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
portend,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
probeproto,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
process,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
processtime,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
profile,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20
proto,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
protocol,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radioband,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
radioid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
radioidclosest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
radioiddetected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
rcvdbyte,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1
reason,0,0,0,0,0,0,0,0,0,0,32,29,27,0,0,110
red,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
remip,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
remote,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
remotetunnelid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
remotewtptime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
remport,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
reporttype,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
result,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
role,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
rssi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
rsso_key,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
saddr,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
scantime,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
scope,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
sentbyte,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1
seq,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,8
serial,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
serialno,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
server,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,25
service,0,0,0,0,0,0,1,4,0,0,17,0,0,0,0,0
serviceid,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
session_id,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
setuprate,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
severity,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
signal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
slamap,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
slatargetid,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
slctdrmamode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
slot,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
sn,0,0,2,10,4,0,0,0,0,45,30,0,0,0,0,149
snclosest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
sndetected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
snmeshparent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
snr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
source_mac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
spi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
src_int,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
srcintfrole,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srcip,4,0,1,0,0,0,1,0,0,1,12,33,0,5,0,25
srcmac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
srcname,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
srcport,4,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0
ssid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
stacount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
stage,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
stamac,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,115
state,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
status,0,0,3,0,0,2,0,2,0,0,118,31,44,0,0,0
stitch,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
stitchaction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
submodule,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
subtype,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
sync_status,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sync_type,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sysuptime,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tamac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
threattype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
time,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
to_vcluster,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
total,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
totalsession,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
trace_id,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
trigger,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tunnelid,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0
tunnelip,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
tunneltype,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0
type,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
tz,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
ui,0,0,0,0,2,2,1,0,0,51,147,1,5,0,0,0
unit,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
upgradedevice,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
url,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0
used,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
used_for_type,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
user,0,0,8,0,2,2,1,0,0,51,185,28,56,0,0,67
useralt,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
vap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
vapmode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vcluster,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
vcluster_member,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vcluster_state,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vd,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
vdname,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
vendorurl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
version,0,0,0,2,0,0,0,0,0,0,12,0,4,0,0,0
vip,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
vpntunnel,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
vrf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
vulncat,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vulnid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vulnname,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wanin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
waninfo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wanout,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
weakwepiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wscode,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xauthgroup,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
xauthuser,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
xid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
