Log Field Name,Data Type,Length,Description,Mapping Type,ECS Field,ECS Type,ECS Description
dstthreatfeed,string,36,,,,,
dstunauthuser,string,66,,=,destination.user.name,keyword,Short name or login of the user.
dstunauthusersource,string,66,,=,destination.user.group.name,keyword,Name of the group.
dstuser,string,256,,=,destination.user.name,keyword,Short name or login of the user.
dstuuid,string,37,UUID of the Destination Address Object,,,,
duration,uint32,10,Duration of the session,->,event.duration,long,Duration of the event in nanoseconds.
durationdelta,uint32,20,,,,,
emsconnection,string,8,,,,,
eventtime,uint64,20,Epoch time in nanoseconds,,,,
fctuid,string,32,FortiClient UID,,,,
fwdsrv,string,64,,,,,
gatewayid,uint32,10,,,,,
group,string,512,User group name,=,source.user.group.name,keyword,Name of the group.
identifier,uint16,5,,,,,
lanin,uint64,20,LAN incoming traffic in bytes,,,,
lanout,uint64,20,LAN outgoing traffic in bytes,,,,
level,string,11,Log Level,=,log.level,keyword,Log level of the log event.
logid,string,10,Log ID,=,event.code,keyword,Identification code for this event.
masterdstmac,string,17,Destination master MAC address,,,,
mastersrcmac,string,17,The master MAC address for a host that has multiple network interfaces,,,,
msg,string,512,Log message,=,message,match_only_text,Log message optimized for viewing in a log viewer.
osname,string,66,Name of the device's OS,,,,
pdstport,uint16,5,,,,,
policyid,uint32,10,Firewall Policy ID,=,rule.id,keyword,Rule ID.
policymode,string,8,,,,,
policyname,string,36,Policy name,=,rule.name,keyword,Rule name.
policytype,string,24,Policy type,=,rule.ruleset,keyword,Rule ruleset.
poluuid,string,37,UUID of the Firewall Policy,=,rule.uuid,keyword,Rule UUID.
proto,uint8,3,Protocol Number,"->
->
->","network.iana_number
network.transport
network.community_id","keyword
keyword
keyword","IANA Protocol Number.
Protocol Name corresponding to the field `iana_number`.
A hash of source and destination IPs and ports, and the protocol used in a communication."
proxyapptype,string,16,,,,,
psrcport,uint16,5,,,,,
radioband,string,64,Radio Band,,,,
rcvdbyte,uint64,20,Received Bytes,"->
->","destination.bytes
network.bytes","long
long","Bytes sent from the destination to the source.
Total bytes transferred in both directions."
rcvddelta,uint64,20,Delta Received Bytes,,,,
rcvdpkt,uint32,10,Received Packets,"->
->","destination.packets
network.packets","long
long","Packets sent from the destination to the source.
Total packets transferred in both directions."
rcvdpktdelta,uint32,20,,,,,
realserverid,uint32,10,,,,,
replydstintf,string,32,,,,,
replysrcintf,string,32,,,,,
saasname,string,80,,,,,
sentbyte,uint64,20,Sent Bytes,"->
->","source.bytes
network.bytes","long
long","Bytes sent from the source to the destination.
Total bytes transferred in both directions."
sentdelta,uint64,20,Delta Sent Bytes,,,,
sentpkt,uint32,10,Sent Packets,"->
->","source.packets
network.packets","long
long","Packets sent from the source to the destination.
Total packets transferred in both directions."
sentpktdelta,uint32,20,,,,,
service,string,80,Name of Service,=,network.protocol,keyword,Application protocol name.
sessionid,uint32,10,Session ID,=,session.id,keyword,(*) Unique identifier for the session.
shaperdroprcvdbyte,uint32,10,Received bytes dropped by shaper,,,,
shaperdropsentbyte,uint32,10,Sent bytes dropped by shaper,,,,
shaperperipdropbyte,uint32,10,Dropped bytes per IP by shaper,,,,
shaperperipname,string,36,Traffic shaper name (per IP),,,,
shaperrcvdname,string,36,Traffic shaper name for received traffic,,,,
shapersentname,string,36,Traffic shaper name for sent traffic,,,,
shapingpolicyid,uint32,10,Shaping Policy ID,,,,
shapingpolicyname,string,36,,,,,
signal,int8,4,,,,,
snr,int8,4,,,,,
srccity,string,64,,=,source.geo.city_name,keyword,City name.
srccountry,string,64,Country name for Source IP,=,source.geo.country_name,keyword,Country name.
srcdomain,string,255,,=,source.domain,keyword,The domain name of the source.
srcfamily,string,66,,,,,
srchwvendor,string,66,,,,,
srchwversion,string,66,,,,,
srcinetsvc,string,64,Internet service name for the source,,,,
srcintf,string,32,Source interface name,=,observer.ingress.interface.name,keyword,Interface name as reported by the system.
srcintfrole,string,10,"Source Interface's assigned role (LAN, WAN, etc.)",,,,
srcip,ip,39,Source IP address,"=
->
->
->","source.ip
network.community_id
network.direction
related.ip","ip
keyword
keyword
ip","IP address of the source.
A hash of source and destination IPs and ports, and the protocol used in a communication.
Direction of the network traffic.
All of the IPs seen on your event."
srcmac,string,17,MAC address associated with the Source IP,=,source.mac,keyword,MAC address of the source.
srcmacvendor,string,66,,,,,
srcname,string,256,Source name,=,source.address,keyword,Source network address.
srcport,uint16,5,Source protocol port number,->,source.port,long,Port of the source.
srcregion,string,64,,,,,
srcremote,ip,39,,,,,
srcreputation,uint32,10,,,,,
srcserver,uint8,3,Source server,,,,
srcssid,string,33,Source SSID,,,,
srcswversion,string,66,,,,,
srcthreatfeed,string,36,,,,,
srcuuid,string,37,UUID of the Source Address Object,,,,
sslaction,string,26,Action taken by ssl-ssh-profile,,,,
subtype,string,20,Subtype of the traffic,,,,
time,string,8,Time,,,,
trandisp,string,16,NAT translation type,,,,
tranip,ip,39,NAT Destination IP,"=
->","destination.nat.ip
related.ip","ip
ip","Destination NAT ip.
All of the IPs seen on your event."
tranport,uint16,5,NAT Destination Port,->,destination.nat.port,long,Destination NAT Port.
transip,ip,39,NAT Source IP,"=
->","source.nat.ip
related.ip","ip
ip","Source NAT ip.
All of the IPs seen on your event."
transport,uint16,5,NAT Source Protocol Port,"->
->","source.nat.port
network.transport_port","long
keyword","Source NAT port.
(*) Combination of network transport and destination port (e.g. tcp/443)."
tunnelid,uint32,10,,,,,
type,string,16,Log type,,,,
tz,string,5,Time zone,=,event.timezone,keyword,Event time zone.
unauthuser,string,66,Unauthenticated user name,=,source.user.name,keyword,Short name or login of the user.
unauthusersource,string,66,The method used to detect unauthenticated user name,=,source.user.group.name,keyword,Name of the group.
url,string,512,URL,"=
->
->
->
->","url.original
url.path
url.query
url.registered_domain
url.top_level_domain","wildcard
wildcard
keyword
keyword
keyword","Unmodified original url as seen in the event source.
Path of the request.
Query string of the request.
The highest registered url domain, stripped of the subdomain.
The effective top level domain (com, org, net, co.uk)."
user,string,256,User name,=,source.user.name,keyword,Short name or login of the user.
utmaction,string,32,Security action performed by UTM,,,,
vd,string,32,Virtual domain name,,,,
vip,string,64,,,,,
vpntype,string,14,The type of the VPN tunnel,,,,
vrf,uint8,3,Virtual router forwarding,=,network.vrf,keyword,(*) Virtual routing and forwarding ID.
vwlid,uint32,10,Virtual Wan Link (SD-WAN) service id,,,,
vwlname,string,36,,,,,
vwlquality,string,320,Quality info of the service rule that is matched by traffic,,,,
vwlservice,string,64,Application that is matched by the traffic (internet-service-app-ctrl),,,,
vwpvlanid,uint32,10,Virtual Wire Pair vlan id,,,,
wanin,uint64,20,WAN incoming traffic in bytes,,,,
wanoptapptype,string,9,WAN Optimization Application type,,,,
wanout,uint64,20,WAN outgoing traffic in bytes,,,,
