Log Field Name,Data Type,Length,Description
eventtype,string,48,
exch,string,14,Type of IKE messages exchanged
expiry,string,64,FortiGuard override expiry timestamp
extension,string,20,
extinvalid,int32,10,
exttotal,int32,10,
failuredev,string,80,
fams_pause,uint32,10,Fortinet Analysis and Management Service Pause
fazlograte,uint64,20,FortiAnalyzer Logging Rate
fctemsname,string,36,
fctemssn,string,16,
fctuid,string,32,FortiClient UID
fgtcount,uint32,5,
field,string,32,NTP date-time field
file,string,256,Report file full path
filename,string,80,
filesize,uint32,10,Report File Size in Bytes
fqdn,string,256,Fully Qualified Domain Name
frametype,string,32,Frame Type
freediskstorage,uint32,10,
from,string,128,Sender Email Address for Notification
from_vcluster,uint32,10,Source virtual cluster number
fwserver_name,string,64,
gateway,ip,39,Gateway ip address for PPPoE status report
green,string,32,Green threshold for conserve mode
group,string,512,User group Name
groupid,uint32,10,User Group ID
ha-prio,uint8,3,HA Priority
ha_group,uint16,4,HA Group Number - can be 0 - 255
ha_role,string,9,The HA role in the cluster
hash,string,32,Hash Value of Downloaded File
healthcheck,string,64,
highcount,int32,10,Security Rating result failed count for high severity
host,string,256,
hostname,string,128,Hostname
httpcode,uint16,3,
iaid,uint32,10,DHCPv6 Identity Association Identifier
in_spi,string,16,SPI for incoming traffic
inbandwidthavailable,string,24,
inbandwidthused,string,24,
informationsource,string,4096,Information Source
init,string,6,
initiator,string,64,Original login user name for Fortiguard override
interface,string,32,Interface
intf,string,16,Interface
invalidmac,string,17,Detected MAC address with invalid OUI
ip,ip,39,Source IP
iptype,string,16,IP type
jitter,string,24,
latency,string,24,
lease,uint32,10,DHCP lease time
level,string,11,Log Level
limit,uint32,10,Virtual Domain Resource Limit
live,uint32,10,Time in seconds
local,ip,39,Local IP for a PPPD Connection
localdevcount,uint32,5,
locip,ip,39,IPsec VPN local gateway IP address
locport,uint16,5,Local Port
log,string,32,Log Name for Log Rotation
logdesc,string,4096,Log Description
logid,string,10,Log ID
lowcount,int32,10,Security Rating result failed count for low severity
mac,string,17,MAC Address
manuf,string,20,Manufacturer name
mediumcount,int32,10,Security Rating result failed count for medium severity
mem,uint8,3,Memory Usage
member,string,512,
membytes,uint64,16,
memchange,int32,10,
meshmode,string,19,Mesh mode
method,string,64,Method
mgmtcnt,uint32,10,The number of unauthorized client flooding managemet frames
mode,string,32,"sdwan/system: Mode

vpn: IPsec VPN ID protection mode"
model,string,64,
modem,string,3,
module,string,32,Configuration Module Name
monitor-name,string,35,Health Monitor Type
monitor-type,string,32,Health Monitor Name
moscodec,string,24,
mosvalue,string,24,
mpsk,string,33,Multiple pre-shared keys
msg,string,4096,Log Message
mtu,uint32,10,Max Transmission Unit Value
name,string,128,Display Name of the Connection
nat,ip,39,NAT IP Address
neighbor,string,46,
netid,string,128,
networktransfertime,string,24,
new_status,string,512,New Status
new_value,string,128,New Virtual Domain Name
newchannel,uint8,3,New Channel Number
newchassisid,uint8,3,New Chassis ID
newslot,uint8,3,New Slot Number
newvalue,string,32,
nextstat,uint32,10,Time interval in seconds for the next statistics
nodecount,uint32,5,
noise,int8,4,WiFi signal noise level
numpassmember,uint32,10,
old_status,string,512,Original Status
old_value,string,128,Original Virtual Domain name
oldchannel,uint8,3,Original Channel Number
oldchassisid,uint8,3,Original Chassis Number
oldslot,uint8,3,Original Slot Number
oldsn,string,64,Security fabric upstream FGT old serial number
oldvalue,string,32,
oldwprof,string,64,Old Web Filter Profile
onwire,string,3,The rogue ap is onwire or not
opercountry,string,4,The name of operating country on a AP
operdrmamode,string,10,
opertxpower,uint32,10,The value of operating tx power
originjitter,string,24,
originpktloss,string,24,
originreset,uint64,20,
originretransmission,uint64,20,
out_spi,string,16,Out SPI
outbandwidthavailable,string,24,
outbandwidthused,string,24,
outintf,string,32,IPsec VPN binding interface
packetloss,string,24,
passedcount,int32,10,Security Rating result passed count
passwd,string,20,Password
path,string,512,
peer,string,36,
peer_notif,string,25,IPsec VPN Peer Notification
phase2_name,string,128,Phase 2 Name
pid,uint32,10,Process ID
policyid,uint32,10,Policy ID
poolname,string,36,IP Pool Name
port,uint16,5,Port Number
portbegin,uint16,5,Port Number to Begin
portend,uint16,5,Port Number to End
probeproto,string,16,Link Monitor Probe Protocol
process,string,4096,Process
processtime,uint32,10,Process time for reports
product,string,64,
profile,string,64,Profile Name
proto,uint8,3,Protocol Number
protocol,string,128,
radioband,string,64,The operating radio band
radioid,uint8,3,The operating radio ID
radioidclosest,uint8,3,The radio ID on the AP closest with the detected rogue ap
radioiddetected,uint8,3,The radio ID on the AP which detected the rogue ap
rate,uint16,6,WiFi band width rate
rcvdbyte,uint64,20,Received Bytes
reason,string,256,Reason
red,string,32,
remip,ip,39,IPsec VPN remote gateway IP address
remote,ip,39,IP Address of the PPP Remote end
remotetunnelid,uint32,10,
remotewtptime,string,32,The time of AP when client trying to connect
remport,uint16,5,Remote Port
replyjitter,string,24,
replypktloss,string,24,
replyreset,uint64,20,
replyretransmission,uint64,20,
reporttype,string,20,Report Type
requesttype,string,64,
result,string,31,IPsec VPN negotiation result
retransample,uint16,5,
role,string,9,"IPsec peer role, initator or responder"
rss,uint32,16,
rssi,uint8,3,The value of Received signal strength indicator
rsso_key,string,64,RADIUS SSO attribute value
rttsample,uint16,5,
saddr,string,80,Source Address IP
scantime,uint64,20,
scope,string,16,FortiGuard Override Scope
security,string,40,Security
sentbyte,uint64,20,Bytes Sent
seq,string,512,Sequence
serial,uint32,10,
serialno,string,16,Serial Number
server,string,64,"system: Server IP Address

user/wireless: AD server FQDN or IP"
serveraddr,string,80,
servername,string,32,
serverresponsetime,string,24,
service,string,64,Name of Service
serviceid,uint32,10,
session_id,uint32,10,Session ID
setuprate,uint64,20,Session Setup Rate
severity,string,10,Severity
signal,int8,4,The signal value of SSID or client
simslot,string,4,
slamap,string,24,
slatargetid,uint32,10,
slctdrmamode,string,10,
slot,uint8,3,Slot Number
sn,string,64,"endpoint/fortiextender/ha/system/wireless: Serial Number

system: Serial number for login or logout events. Used to correlate login and logout events."
snclosest,string,36,SN of the AP closest to the rogue AP
sndetected,string,36,SN of the AP which detected the rogue AP
snmeshparent,string,36,SN of the mesh parent
snprev,string,36,
snr,int8,4,
source_mac,string,17,The source MAC address of wifi station
speedtestserver,string,80,
spi,string,16,Security Parameter Index
src_int,string,64,Source Interface
srccountry,string,64,
srcintfrole,string,10,
srcip,ip,39,Source IP
srcmac,string,17,Source MAC address
srcname,string,64,Source name
srcport,uint16,5,Source port
ssid,string,33,WiFi Service Set ID
stacount,uint32,10,The count of wifi stations
stage,uint8,3,
stamac,string,17,The MAC address of wifi station
starttime,uint64,16,
state,string,64,State
status,string,23,Status
stitch,string,36,Automation stitch name
stitchaction,string,256,
submodule,string,32,"Sub-module name. For example autoupdate is sub-module in log of ""config system autoupdate schedule"""
subtask,string,256,
subtype,string,20,Log Subtype
switchaclid,uint32,10,
switchautoip,ip,39,
switchinterface,string,16,
switchl2capacity,uint32,10,
switchl2count,uint32,10,
switchmirrorsession,string,16,
switchphysicalport,string,16,
switchsysteminterface,string,16,
switchtrunk,string,16,
switchtrunkinterface,string,16,
synackretransmission,uint64,20,
sync_status,string,11,The sync status with the primary
sync_type,string,14,The sync type with the primary
synretransmission,uint64,20,
sysuptime,uint32,10,
tamac,string,17,"The MAC address of Transmitter. If none, then Receiver"
task,uint16,5,
threattype,string,64,WIDS threat type
ticket,string,40,
time,string,8,Time
timestamp,string,24,
to_vcluster,uint32,10,Destination virtual cluster number
total,uint32,10,Total
totalsession,uint32,10,Total Number of Sessions
trace_id,string,32,
trafficmode,string,8,
trigger,string,36,Automation trigger name
tunnelid,uint32,10,IPsec VPN tunnel ID
tunnelip,ip,39,IPsec VPN tunnel IP address
tunneltype,string,64,IPsec VPN tunnel type
type,string,16,Log Type
tz,string,5,Time zone
ui,string,64,User Interface
upbandwidthmeasured,string,24,
upgradedevice,string,80,
upgradesource,string,80,
url,string,512,URL
used,uint32,10,Number of Used IPs
user,string,256,User name of authenticated user
useralt,string,256,
uuid,string,37,
vap,string,36,Virtual Access Point
vapmode,string,17,Virtual Access Point mode
vcluster,uint32,10,Virtual cluster
vcluster_member,uint32,10,Virtual cluster member
vcluster_state,string,7,Virtual cluster member state
vd,string,32,Virtual Domain Name
vdname,string,32,Virtual Domain Name
vendor,string,64,
vendorurl,string,256,
version,string,64,Version
versionmax,string,64,
versionmin,string,64,
vip,string,80,Virtual IP
vlan,uint32,10,
vpntunnel,string,128,IPsec VPN Tunnel Name
vrf,uint16,3,
vulncat,string,32,Vulnerability Category
vulncnt,uint32,10,
vulnid,uint32,10,Vulnerability ID
vulnname,string,128,Vulnerability name
vulnresult,string,64,
wanin,uint64,20,
waninfo,string,512,
wanout,uint64,20,
weakwepiv,string,8,Weak Wep Initiation Vector
wscode,uint16,4,
xauthgroup,string,128,IPsec VPN Xauth user group name
xauthuser,string,256,IPsec VPN Xauth user name
xid,uint32,10,
