Log Field Name,APP-CTRL,Anomaly,DLP,DNS,Debug,EmailFilter,FILE-FILTER,FORTI-SWITCH,GTP,ICAP,IPS,SSH,SSL,Virus,VoIP,WAF,Webfilter,casb,virtual-patch
cat,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0
catdesc,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0
cc,0,0,4,0,0,5,2,0,0,0,0,0,0,67,0,0,0,0,0
ccertissuer,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdrcontent,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
certdesc,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
certhash,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
cfseid,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
cfseidaddr,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
cggsn6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cgsn6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
channeltype,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
checksum,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
chgheaders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cipher,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
clashtunnelidx,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cloudaction,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clouddevice,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloudgenai,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clouduser,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
command,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0
constraint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
contentdisarmed,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
contentencoding,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
contenttype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
count,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cpaddr,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
cpaddr6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
cpdladdr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdladdr6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdlisraddr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdlisraddr6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdlisrteid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpdlteid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpteid,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
cpuladdr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpuladdr6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpulteid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
craction,6,3,0,0,0,0,0,0,0,0,7,0,0,74,0,0,48,0,0
crlevel,6,3,0,0,0,0,0,0,0,0,7,0,0,74,0,0,48,0,0
crscore,6,3,0,0,0,0,0,0,0,0,7,0,0,74,0,0,48,0,0
csgsn6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
date,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
dcgeo,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deny_cause,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
devid,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
dir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
direction,14,0,4,0,0,5,2,0,0,0,6,10,0,76,0,12,48,0,4
dlpextra,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docsource,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainfilteridx,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domainfilterlist,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dst_int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
dst_port,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
dstauthserver,5,0,4,0,0,5,2,0,0,0,7,0,0,74,0,12,50,0,4
dstcountry,14,3,4,13,0,5,2,0,0,3,6,10,21,74,0,12,50,0,4
dstintf,15,3,4,13,0,5,2,0,0,3,7,10,21,76,0,12,62,3,4
dstintfrole,15,3,4,13,0,5,2,0,0,3,7,10,21,76,0,12,62,3,4
dstip,14,3,4,13,0,5,2,1,0,3,6,10,21,77,7,12,63,3,4
dstmac,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dstport,14,2,4,13,0,5,2,0,14,3,4,10,21,77,0,12,63,3,4
dstuser,5,0,4,13,0,5,2,0,0,0,7,10,21,74,0,12,64,0,4
dstuuid,0,0,4,0,0,5,2,0,0,3,0,10,21,74,0,12,50,3,0
dstzone,6,3,4,13,0,5,2,0,0,3,7,10,21,76,0,0,62,3,4
dtlexp,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
dtype,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
duration,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0
echmsg,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
end-usr-address,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
endusraddress6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
epoch,0,0,4,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
error,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ethertype,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
event_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
eventid,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0
eventsubtype,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
eventtime,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
eventtype,15,3,6,13,0,5,2,0,0,3,7,10,21,77,0,12,65,3,4
exchange,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fctuid,14,3,4,13,0,5,2,0,0,0,6,10,21,75,0,12,49,0,4
filefilter,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
filehash,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
filehashsrc,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
filename,6,0,4,0,0,0,2,0,0,0,0,0,0,74,0,0,0,0,0
filesize,5,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
filetype,0,0,4,0,0,0,2,0,0,0,0,0,0,63,0,0,0,0,0
filtercat,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filtertype,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
fortiguardresp,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
forwardedfor,6,0,4,0,0,0,2,0,0,0,7,0,0,68,0,0,48,0,4
from,0,0,4,0,0,5,2,0,15,0,0,0,0,73,2,0,6,0,0
from6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
fsaverdict,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ftlkintf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group,14,3,4,13,0,5,2,0,0,0,6,10,21,76,0,12,62,3,4
handshake,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
headerteid,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
hostkeystatus,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
hostname,5,0,4,0,0,0,2,0,0,0,2,0,21,0,0,0,61,0,4
hseid,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
httpmethod,5,0,4,0,0,0,2,0,0,0,2,0,0,74,0,12,62,0,4
icbaction,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
icbconfidence,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
icberror,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
icbfileid,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
icbfiletype,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
icbseverity,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
icbverdict,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
icmpcode,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
icmpid,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
icmptype,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
identifier,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ietype,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
imei-sv,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
imsi,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
incidentserialno,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
infectedfilelevel,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infectedfilename,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infectedfilesize,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infectedfiletype,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infection,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
initiator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
ipaddr,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issuer,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
itype,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
keyalgo,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
keysize,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
keyword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
kxcurve,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
kxproto,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
level,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
line,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
linked-nsapi,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
locip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
locport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
logid,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
login,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
logsrc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
malform_data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
malform_desc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
matchfilename,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
matchfiletype,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
message_type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
messageid,5,0,4,0,0,5,2,0,0,0,3,0,0,71,0,0,0,0,0
mitm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
model,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msg,6,3,0,12,1,5,2,0,0,3,7,0,19,76,0,12,62,3,4
msg-type,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
msgtypename,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
msisdn,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
nai,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
notafter,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
notbefore,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
nsapi,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
parameters,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pathname,0,0,0,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0
pdstport,5,0,4,0,0,0,0,0,0,0,4,0,0,74,0,0,0,0,4
phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
policy_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
policyid,15,3,4,13,0,5,2,0,0,3,7,10,21,76,0,12,62,3,4
policymode,6,0,4,0,0,5,2,0,0,0,7,0,0,66,0,0,48,0,4
policytype,6,3,4,13,0,5,2,0,0,3,7,10,21,76,0,12,62,3,4
poluuid,6,0,4,13,0,5,2,0,0,3,7,10,21,76,0,12,62,3,4
profile,15,0,4,13,0,5,2,0,18,3,7,10,21,76,7,12,63,3,4
profilegroup,15,3,6,13,0,5,2,0,0,3,7,10,21,76,0,12,63,3,4
profiletype,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prompt,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proto,14,3,4,13,0,5,2,1,0,3,6,10,21,76,7,12,62,3,4
psrcport,5,0,4,0,0,0,0,0,0,0,4,0,0,74,0,0,0,0,4
qclass,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qname,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qtype,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qtypeval,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarskip,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
quotaexceeded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
quotamax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
quotatype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
quotaused,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
rai,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
rat-type,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ratemethod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0
rawdata,6,0,4,0,0,0,2,0,0,0,7,0,0,62,0,12,48,0,4
rawdataid,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
rcode,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rcvdbyte,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,0,0
rcvdpkt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
reason,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
recipient,0,0,4,0,0,5,2,0,0,0,0,0,0,71,0,0,0,0,0
ref,0,3,0,0,0,0,0,0,0,0,6,0,0,60,0,0,0,0,0
referralurl,5,0,4,0,0,0,2,0,0,0,2,0,0,72,0,12,62,0,4
remip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
remport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
reqtype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
request_name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
risklevel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
ruleid,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rulename,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
saasapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
san,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
scertcname,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scertissuer,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selection,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
sender,0,0,4,0,0,5,2,0,0,0,0,0,0,71,0,0,0,0,0
sensitivity,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sentbyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
seqnum,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
service,14,3,4,0,0,5,2,0,0,3,6,0,21,77,0,12,62,0,4
session_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
sessionid,14,3,4,13,0,5,2,0,1,3,6,10,21,76,0,12,62,3,4
severity,0,3,4,0,0,0,0,0,0,0,6,10,0,0,0,12,0,0,4
sharename,0,0,0,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0
size,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ski,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
sn,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
snetwork,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
sni,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
src_int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
src_port,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
srccountry,14,3,4,13,0,5,2,0,0,3,6,10,21,74,0,12,50,0,4
srcdomain,14,3,4,13,0,5,2,0,0,0,6,10,21,75,0,12,49,0,4
srcintf,15,3,4,13,0,5,2,0,0,3,7,10,21,76,0,12,62,3,4
srcintfrole,15,3,4,13,0,5,2,0,0,3,7,10,21,76,0,12,62,3,4
srcip,14,3,4,13,0,5,2,1,0,3,6,10,21,77,7,12,63,3,4
srcmac,1,0,4,13,0,5,2,0,0,3,7,0,21,74,0,0,48,3,0
srcname,0,0,4,0,0,5,2,0,0,3,6,0,21,74,0,0,48,3,0
srcport,14,2,4,13,0,5,2,0,14,3,4,10,21,77,0,12,63,3,4
srcuuid,0,0,4,0,0,5,2,0,0,3,0,10,21,74,0,12,50,3,0
srczone,6,3,4,13,0,5,2,0,0,3,7,10,21,76,0,12,62,3,4
sscname,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
status,0,0,0,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0
subaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
subject,0,0,4,0,0,5,2,0,0,0,0,0,0,67,0,0,0,0,0
subservice,0,0,4,0,0,0,2,0,0,0,0,0,0,74,0,0,0,0,0
subtype,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
switchid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
switchproto,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
tenantmatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
time,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
timeoutdelete,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
tlsver,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
to,0,0,4,0,0,5,2,0,15,0,0,0,0,73,2,0,6,0,0
to6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
transid,5,0,4,0,0,5,2,0,0,3,6,0,21,76,0,12,48,0,0
translationid,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trueclntip,6,0,4,0,0,0,2,0,0,0,7,0,0,68,0,0,48,0,4
tunnel-idx,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
type,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
tz,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
u-bytes,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
u-ggsn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
u-ggsn-teid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
u-gsn,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
u-pkts,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
u-sgsn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
u-sgsn-teid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ufseid,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ufseidaddr,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
uggsn6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ugsn6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
uli,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ulimcc,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ulimnc,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
unauthuser,14,3,4,13,0,5,2,0,0,0,6,10,21,75,0,12,49,0,4
unauthusersource,14,3,4,13,0,5,2,0,0,0,6,10,21,75,0,12,49,0,4
upteid,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
url,5,0,4,0,0,0,2,0,0,3,2,0,0,74,0,12,63,3,4
urlfilteridx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
urlfilterlist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
urlrisk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
urlsource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
urltype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
usecase,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user,14,3,4,13,0,5,2,0,0,0,7,10,21,76,0,12,64,3,4
user_data,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
useractivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
usgsn6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vd,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
version,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
videocategoryid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videocategoryname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videochannelid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videodesc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
