Log Field Name,AV,Anomaly,App,DLP,DNS,Email,FILE-FILTER,GTP,ICAP,IPS,SSH,SSL,VoIP,WAF,Web
cpdlisraddr6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cpdlisrteid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cpdlteid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cpteid,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
cpuladdr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cpuladdr6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cpulteid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
craction,79,3,5,0,0,0,0,0,0,6,0,0,0,0,45
crlevel,79,3,5,0,0,0,0,0,0,6,0,0,0,0,45
crscore,79,3,5,0,0,0,0,0,0,6,0,0,0,0,45
csgsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
date,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
deny_cause,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
devid,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
dir,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
direction,79,0,14,2,0,5,2,0,0,6,8,0,0,12,44
dlpextra,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
docsource,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
domainfilteridx,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
domainfilterlist,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
dst_int,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
dst_port,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
dstauthserver,79,0,5,2,0,5,2,0,0,6,0,0,0,12,46
dstcountry,79,3,14,2,12,5,2,0,3,6,8,18,0,12,46
dstintf,79,3,14,2,12,5,2,0,3,6,8,18,0,12,52
dstintfrole,79,3,14,2,12,5,2,0,3,6,8,18,0,12,52
dstip,80,3,14,2,12,5,2,0,3,6,8,18,7,12,53
dstport,80,2,14,2,12,5,2,14,3,4,8,18,0,12,53
dstuser,79,0,5,2,12,5,2,0,0,6,8,18,0,12,54
dstuuid,79,0,0,2,0,5,2,0,3,0,8,18,0,12,46
dtlexp,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
dtype,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duration,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0
end-usr-address,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
endusraddress6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
epoch,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0
error,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3
event_id,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
eventid,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0
eventsubtype,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
eventtime,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
eventtype,80,3,14,4,12,5,2,0,3,6,8,18,0,12,55
exchange,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
fctuid,80,3,14,2,12,5,2,0,0,6,8,18,0,12,45
filefilter,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filehash,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filehashsrc,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filename,77,0,5,2,0,0,2,0,0,0,0,0,0,0,0
filesize,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0
filetype,68,0,0,2,0,0,2,0,0,0,0,0,0,0,0
filtercat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
filteridx,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
filtername,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
filtertype,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
fndraction,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fndrconfidence,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fndrfileid,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fndrfiletype,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fndrseverity,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fortiguardresp,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
forwardedfor,73,0,5,2,0,0,2,0,0,6,0,0,0,0,44
from,78,0,0,2,0,5,2,15,0,0,0,0,2,0,5
from6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
fsaaction,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsafileid,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsafiletype,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsaseverity,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsaverdict,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group,79,3,14,2,12,5,2,0,0,5,8,18,0,12,52
handshake,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
headerteid,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
hostkeystatus,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
hostname,0,0,5,2,0,0,2,0,0,2,0,18,0,0,51
hseid,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
httpmethod,77,0,5,2,0,0,2,0,0,2,0,0,0,12,52
icmpcode,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
icmpid,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
icmptype,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ietype,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
imei-sv,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
imsi,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
incidentserialno,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
infectedfilelevel,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
infectedfilename,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
infectedfilesize,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
infectedfiletype,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
infection,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
initiator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
ipaddr,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
issuer,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
keyalgo,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
keysize,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
keyword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
kind,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
kxcurve,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
kxproto,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
level,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
line,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
linked-nsapi,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
locip,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
locport,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
logid,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
login,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
malform_data,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
malform_desc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
matchfilename,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
matchfiletype,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
message_type,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
mitm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
msg,79,3,5,0,11,5,2,0,3,6,0,16,0,12,52
msg-type,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
msisdn,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
nai,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
name,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
notafter,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
notbefore,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
nsapi,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
parameters,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
pathname,65,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pdstport,79,0,5,2,0,0,0,0,0,3,0,0,0,0,0
phone,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
policy_id,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
policyid,79,3,14,2,12,5,2,0,3,6,8,18,0,12,52
policymode,71,0,5,2,0,5,2,0,0,6,0,0,0,0,44
policytype,79,3,5,2,12,5,2,0,3,6,8,18,0,12,46
poluuid,79,0,5,2,12,5,2,0,0,6,0,18,0,12,46
profile,79,0,14,2,12,5,2,18,3,6,8,18,7,12,53
profiletype,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
proto,79,3,14,2,12,5,2,0,3,6,8,18,7,12,52
psrcport,79,0,5,2,0,0,0,0,0,3,0,0,0,0,0
qclass,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
qname,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
qtype,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
qtypeval,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
quarskip,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quotaexceeded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
quotamax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
quotatype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
quotaused,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
rai,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
rat-type,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ratemethod,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13
rawdata,67,0,5,2,0,0,2,0,0,6,0,0,0,12,44
rawdataid,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0
rcode,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
rcvdbyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
reason,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
recipient,76,0,0,2,0,5,2,0,0,0,0,0,0,0,0
ref,65,3,0,0,0,0,0,0,0,5,0,0,0,0,0
referralurl,77,0,5,2,0,0,2,0,0,2,0,0,0,12,52
remip,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
remport,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
reqtype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
request_name,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
san,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
scertcname,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
scertissuer,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
selection,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
sender,76,0,0,2,0,5,2,0,0,0,0,0,0,0,0
sensitivity,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
sentbyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
seqnum,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
service,80,3,14,2,0,5,2,0,3,6,0,18,0,12,52
session_id,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
sessionid,79,3,14,2,12,5,2,1,3,6,8,18,0,12,52
severity,0,3,0,2,0,0,0,0,0,6,8,0,0,12,0
sharename,65,0,0,0,0,0,2,0,0,0,0,0,0,0,0
size,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ski,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
sn,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
snetwork,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
sni,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
src_int,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
src_port,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
srccountry,79,3,14,2,12,5,2,0,3,6,8,18,0,12,46
srcdomain,80,3,14,2,12,5,2,0,0,6,8,18,0,12,45
srcintf,79,3,14,2,12,5,2,0,3,6,8,18,0,12,52
srcintfrole,79,3,14,2,12,5,2,0,3,6,8,18,0,12,52
srcip,80,3,14,2,12,5,2,0,3,6,8,18,7,12,53
srcmac,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
srcport,80,2,14,2,12,5,2,14,3,4,8,18,0,12,53
srcuuid,79,0,0,2,0,5,2,0,3,0,8,18,0,12,46
sscname,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
status,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0
subject,72,0,0,2,0,5,2,0,0,0,0,0,0,0,0
subservice,79,0,0,2,0,0,2,0,0,0,0,0,0,0,0
subtype,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
switchproto,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
timeoutdelete,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
tlsver,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
to,78,0,0,2,0,5,2,15,0,0,0,0,2,0,5
to6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
transid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
translationid,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
trueclntip,73,0,5,2,0,0,2,0,0,6,0,0,0,0,44
tunnel-idx,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
type,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
tz,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
u-bytes,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
u-ggsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
u-ggsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
u-gsn,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
u-pkts,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
u-sgsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
u-sgsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ufseid,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ufseidaddr,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
uggsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ugsn6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
uli,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ulimcc,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ulimnc,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
unauthuser,80,3,14,2,12,5,2,0,0,6,8,18,0,12,45
unauthusersource,80,3,14,2,12,5,2,0,0,6,8,18,0,12,45
upteid,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
url,77,0,5,2,0,0,2,0,3,2,0,0,0,12,53
urlfilteridx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
urlfilterlist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
urlsource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
urltype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
user,79,3,14,2,12,5,2,0,0,6,8,18,0,12,54
user_data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
usgsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
vd,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
version,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
videocategoryid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
videochannelid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
videoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
videoinfosource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
virus,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viruscat,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virusid,65,0,0,0,0,0,0,0,3,0,0,0,0,0,0
voip_proto,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
vrf,79,3,14,2,0,5,2,0,3,6,0,18,0,0,50
webmailprovider,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
xid,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
